element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
C,2,"=""3083.95""","=""1.06e+07""","=""7.56e-03""",B,"=""24.270232""","=""28.29054""","=""2s.2p.(3P*).3d""","=""4F*""","=""3/2""","=""2s.2p.(3P*).5p""","=""4D""","=""1/2""",,
C,2,"=""3083.95""","=""8.65e+06""","=""9.25e-03""",B,"=""24.274339""","=""28.29464""","=""2s.2p.(3P*).3d""","=""4F*""","=""7/2""","=""2s.2p.(3P*).5p""","=""4D""","=""5/2""",,
C,2,"=""3083.94""","=""8.51e+06""","=""8.09e-03""",B,"=""24.271876""","=""28.29219""","=""2s.2p.(3P*).3d""","=""4F*""","=""5/2""","=""2s.2p.(3P*).5p""","=""4D""","=""3/2""",,
C,2,"=""3086.034""","=""2.1e+05""","=""4.5e-04""",E,"=""24.370757""","=""28.388347""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2s.2p.(3P*).5p""","=""4P""","=""5/2""",,
C,2,"=""3086.835""","=""1.8e+06""","=""1.1e+07""",E,"=""24.371800""","=""28.388347""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).5p""","=""4P""","=""5/2""",,
C,2,"=""3087.47""","=""4.7e+05""","=""1.3e-03""",E,"=""24.370080""","=""28.38580""","=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""","=""2s.2p.(3P*).5p""","=""4P""","=""3/2""",,
C,2,"=""3087.800""","=""7.5e+06""","=""8.1e-03""",C,"=""24.373054""","=""28.388347""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).5p""","=""4P""","=""5/2""",,
C,2,"=""3087.99""","=""2.9e+06""","=""1.2e+07""",E,"=""24.370757""","=""28.38580""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2s.2p.(3P*).5p""","=""4P""","=""3/2""",,
C,2,"=""3088.80""","=""5.5e+06""","=""5.2e-03""",C,"=""24.371800""","=""28.38580""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).5p""","=""4P""","=""3/2""",,
C,2,"=""3088.85""","=""5.e+06""","=""1.0e+07""",E,"=""24.370080""","=""[28.38401]""","=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""","=""2s.2p.(3P*).5p""","=""4P""","=""1/2""",,
C,2,"=""3089.37""","=""5.e+06""","=""1.0e+07""",E,"=""24.370757""","=""[28.38401]""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2s.2p.(3P*).5p""","=""4P""","=""1/2""",,
C,3,"=""3100.68""","=""1.77e+06""","=""1.53e-03""",B,"=""41.334721""","=""45.3333""","=""1s2.2p.(2P*).3d""","=""3F*""","=""2""","=""1s2.2s.7d""","=""3D""","=""1""",,
C,3,"=""3100.68""","=""1.97e+05""","=""2.84e-04""",B,"=""41.334721""","=""45.3333""","=""1s2.2p.(2P*).3d""","=""3F*""","=""2""","=""1s2.2s.7d""","=""3D""","=""2""",,
C,3,"=""3100.68""","=""3.96e+03""","=""7.99e-06""",D,"=""41.334721""","=""45.3333""","=""1s2.2p.(2P*).3d""","=""3F*""","=""2""","=""1s2.2s.7d""","=""3D""","=""3""",,
C,2,"=""3101.326""","=""7.e+04""","=""1.0e-04""",E,"=""18.045807""","=""22.043587""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",,
C,2,"=""3101.466""","=""6.e+05""","=""6.e-04""",E,"=""18.045987""","=""22.043587""","=""2s2.3d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",,
C,3,"=""3103.04""","=""1.57e+06""","=""1.62e-03""",B,"=""41.337764""","=""45.3333""","=""1s2.2p.(2P*).3d""","=""3F*""","=""3""","=""1s2.2s.7d""","=""3D""","=""2""",,
